city,country,city ID,city_latitude,city_longitude,latitude,longitude
mahajanga,mg,1062663,-15.6921494,46.3336857,-15.6921494,46.3336857
matagami,ca,6067747,49.7588514,-77.625829,49.7588514,-77.625829
grindavik,is,3416888,63.8441808,-22.4383818,63.8441808,-22.4383818
geraldton,au,2070998,-28.7773715,114.6149715,-28.7773715,114.6149715
adelaide,za,1023656,-32.7071454,26.2952385,-32.7071454,26.2952385
andros town,bs,3572906,24.7063805,-78.0195387,24.7063805,-78.0195387
nome,us,5870133,64.5011111,-165.4063889,64.5011111,-165.4063889
bethel,us,4182260,41.3712283,-73.41396209999999,41.3712283,-73.41396209999999
leningradskiy,ru,2123814,55.7762582,37.6553452,55.7762582,37.6553452
cockburn town,bs,3572627,24.0527442,-74.5302159,24.0527442,-74.5302159
dingle,ie,2964782,52.14093889999999,-10.2640135,52.14093889999999,-10.2640135
provideniya,ru,4031574,64.43272,-173.238567,64.43272,-173.238567
beringovskiy,ru,2126710,63.065438,179.355123,63.065438,179.355123
kirkenes,no,779303,69.7269192,30.0450432,69.7269192,30.0450432
artvin,tr,751817,41.078664,41.7628223,41.078664,41.7628223
kathu,th,1153035,7.9089471,98.3197946,7.9089471,98.3197946
kutum,sd,371745,14.2025174,24.6638251,14.2025174,24.6638251
raahe,fi,640277,64.6839541,24.4883649,64.6839541,24.4883649
ndende,ga,2397614,-2.4050206,11.3572893,-2.4050206,11.3572893
nuuk,gl,3421319,64.18140989999999,-51.6941381,64.18140989999999,-51.6941381
chapais,ca,5919850,49.78221,-74.85248,49.78221,-74.85248
los llanos de aridane,es,2514651,28.6183515,-17.8998566,28.6183515,-17.8998566
batemans bay,au,2176639,-35.7143871,150.1794707,-35.7143871,150.1794707
mar del plata,ar,3430863,-38.0054771,-57.5426106,-38.0054771,-57.5426106
monrovia,lr,2274895,6.3156068,-10.8073698,6.3156068,-10.8073698
nanortalik,gl,3421765,60.1424955,-45.2394951,60.1424955,-45.2394951
pouembout,nc,2138590,-21.1148929,164.9004158,-21.1148929,164.9004158
koutiala,ml,2454268,12.3774106,-5.472538399999999,12.3774106,-5.472538399999999
san quintin,mx,3984997,30.56087669999999,-115.9379302,30.56087669999999,-115.9379302
concepcion del oro,mx,4013039,24.6128234,-101.418384,24.6128234,-101.418384
sung noen,th,1606040,14.8641233,101.8435568,14.8641233,101.8435568
marsh harbour,bs,3571913,26.5241653,-77.09098089999999,26.5241653,-77.09098089999999
georgetown,sh,2411397,-7.926222999999999,-14.4112011,-7.926222999999999,-14.4112011
kamaishi,jp,2112444,39.2758183,141.8856772,39.2758183,141.8856772
ust-nera,ru,2120048,64.5596103,143.2244252,64.5596103,143.2244252
saint-philippe,re,6690301,-21.3035757,55.7356129,-21.3035757,55.7356129
anadyr,ru,2127202,64.7336613,177.4968265,64.7336613,177.4968265
sibu,my,1735902,2.287284,111.830535,2.287284,111.830535
zharkent,kz,1520253,44.166512,79.999974,44.166512,79.999974
ferry pass,us,4155017,30.5101959,-87.2124711,30.5101959,-87.2124711
lavrentiya,ru,4031637,65.58354899999999,-171.0389249,65.58354899999999,-171.0389249
poum,nc,2138555,-20.2349574,164.0329499,-20.2349574,164.0329499
shimizu,jp,2128159,35.0158879,138.4895275,35.0158879,138.4895275
sembakung,id,1627877,3.8024611,117.2205771,3.8024611,117.2205771
sao miguel do araguaia,br,3448455,-13.2734823,-50.16385,-13.2734823,-50.16385
pisco,pe,3932145,-13.7134562,-76.1841701,-13.7134562,-76.1841701
alofi,nu,4036284,-19.0553711,-169.9178709,-19.0553711,-169.9178709
lorengau,pg,2092164,-2.0349854,147.279039,-2.0349854,147.279039
sao sebastiao,br,3388112,-23.8063468,-45.4016534,-23.8063468,-45.4016534
coquimbo,cl,3893629,-29.9590009,-71.3389183,-29.9590009,-71.3389183
barcelos,br,3665098,-0.973993,-62.92557169999999,-0.973993,-62.92557169999999
estelle,us,4323873,33.174816,-115.512169,33.174816,-115.512169
